,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_PTS_PAINT,PW_PTS_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG
0,2022-23,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022200913,2023-02-26T00:00:00,DAL vs. LAL,L,36.38333333333333,10,22,4,8,2,4,0,9,5,6,1,0,3,5,26,0.319,0.14,78,10,0.077,24,79,230,5,1,30.35,1,6,10,0,7,10,1,2,2,65,0,7.0,14,0.0,0.264,0.319
1,2022-23,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022200891,2023-02-23T00:00:00,DAL vs. SAS,W,30.35,8,16,1,6,11,12,0,7,10,1,2,2,0,7,28,0.319,0.264,65,14,0.0,24,79,230,7,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0
2,2022-23,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022200881,2023-02-15T00:00:00,DAL @ DEN,L,34.983333333333334,12,22,3,8,10,12,1,3,9,2,4,0,1,6,37,0.359,0.236,72,12,0.162,24,79,230,6,3,77.05,2,16,24,2,19,11,10,1,0,158,3,7.0,32,0.074,0.1615,0.34099999999999997
3,2022-23,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022200865,2023-02-13T00:00:00,DAL vs. MIN,L,36.05,10,20,2,7,11,15,1,11,6,4,1,0,3,10,33,0.378,0.202,73,16,0.0,24,79,230,8,0,41.0,1,9,11,1,8,5,6,0,0,85,0,4.0,16,0.074,0.121,0.304
4,2022-23,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022200854,2023-02-11T00:00:00,DAL @ SAC,L,41.0,11,20,2,9,3,5,1,8,5,6,0,0,0,4,27,0.304,0.121,85,16,0.074,24,79,230,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0
5,2022-23,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022200782,2023-02-02T00:00:00,DAL vs. NOP,W,22.9,12,19,2,7,5,8,0,8,4,4,2,0,2,6,31,0.5,0.301,49,18,0.065,24,79,230,9,1,39.5,2,12,14,0,9,5,4,2,0,81,2,7.0,20,0.075,0.17750000000000002,0.3305
6,2022-23,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022200761,2023-01-30T00:00:00,DAL vs. DET,W,36.15,17,24,5,11,14,18,0,8,5,4,2,0,2,14,53,0.439,0.394,74,20,0.075,24,79,230,10,2,41.11666666666667,2,5,26,0,16,6,3,1,0,88,3,4.5,26,0.146,0.0975,0.3205
7,2022-23,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022200734,2023-01-26T00:00:00,DAL @ PHX,W,3.35,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0.222,-0.039,7,0,0.0,24,79,230,0,0,114.41833333333335,3,19,55,4,33,17,10,3,0,220,6,8.666666666666666,48,0.274,0.2313333333333333,0.38966666666666666
8,2022-23,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022200717,2023-01-24T00:00:00,DAL vs. WAS,L,37.766666666666666,16,29,0,4,9,12,0,15,6,3,1,0,3,9,41,0.419,0.234,81,26,0.146,24,79,230,13,3,116.11833333333334,3,23,41,4,22,19,14,2,0,222,6,8.0,34,0.195,0.18699999999999997,0.3586666666666667
9,2022-23,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022200701,2023-01-22T00:00:00,DAL vs. LAC,L,38.818333333333335,9,21,3,7,8,13,3,7,4,4,1,0,3,9,29,0.383,0.158,70,10,0.069,24,79,230,5,1,77.30000000000001,2,16,27,1,15,15,10,1,0,152,3,7.5,24,0.126,0.2015,0.34650000000000003
