,Date,Team,Acquired,Relinquished,Notes
0,2019-07-01,76ers,,Amir Johnson,placed on IL
1,2019-10-01,Wizards,,John Wall (Hildred),placed on IL recovering from torn left Achilles tendon (out for season)
2,2019-10-21,Raptors,,Patrick McCaw,placed on IL with sore left knee
3,2019-10-21,Raptors,,Rondae Hollis-Jefferson,placed on IL with left groin injury
4,2019-10-22,Clippers,,Paul George,placed on IL with right shoulder injury
5,2019-10-22,Clippers,,Rodney McGruder,placed on IL with sprained right ankle
6,2019-10-22,Lakers,,DeMarcus Cousins,placed on IL recovering from surery on left knee to repair torn ACL
7,2019-10-22,Lakers,,Kyle Kuzma,placed on IL with stress reaction in left ankle/foot
8,2019-10-22,Lakers,,Rajon Rondo,placed on IL with right calf injury
9,2019-10-22,Pelicans,,Zion Williamson,placed on IL recovering from surgery on right knee to repair torn meniscus
10,2019-10-22,Suns,,Cameron Johnson,placed on IL with left calf injury
11,2019-10-23,76ers,,Zhaire Smith,placed on IL
12,2019-10-23,Blazers,,Jusuf Nurkic,placed on IL
13,2019-10-23,Blazers,,Pau Gasol,placed on IL with left foot injury
14,2019-10-23,Bulls,,Adam Mokoka,placed on IL
15,2019-10-23,Bulls,,Chandler Hutchison,placed on IL with strained left hamstring
16,2019-10-23,Bulls,,Cristiano Felicio,placed on IL
17,2019-10-23,Bulls,,Max Strus,placed on IL
18,2019-10-23,Cavaliers,,Ante Zizic,placed on IL with left foot injury
19,2019-10-23,Cavaliers,,John Henson,placed on IL with sprained right ankle
20,2019-10-23,Celtics,,Romeo Langford,placed on IL with sore right knee
21,2019-10-23,Grizzlies,,Andre Iguodala,placed on IL
22,2019-10-23,Heat,,Dion Waiters,placed on IL
23,2019-10-23,Heat,,James Johnson,placed on IL for conditioning
24,2019-10-23,Heat,,Udonis Haslem,placed on IL with sprained left wrist (DTD)
25,2019-10-23,Jazz,,Dante Exum,placed on IL with right knee injury
26,2019-10-23,Kings,,Harry Giles III,placed on IL with sore left knee
27,2019-10-23,Knicks,,Kadeem Allen,placed on IL with sore right knee
28,2019-10-23,Knicks,,Mitchell Robinson,placed on IL with sprained right ankle
29,2019-10-23,Knicks,,Reggie Bullock,placed on IL with surgery on neck
30,2019-10-23,Mavericks,,Dwight Powell,placed on IL with strained left hamstring
31,2019-10-23,Mavericks,,Ryan Broekhoff,placed on IL with sprained right ankle
32,2019-10-23,Nets,,Nicolas Claxton / Nic Claxton,placed on IL
33,2019-10-23,Nuggets,,Bol Bol,placed on IL with left foot injury
34,2019-10-23,Pistons,,Blake Griffin,placed on IL with left hamstring injury
35,2019-10-23,Pistons,,Jordan Bone,placed on IL
36,2019-10-23,Pistons,,Sekou Doumbouya,placed on IL
37,2019-10-23,Suns,,Jalen Lecque,placed on IL
38,2019-10-23,Suns,,Ty Jerome,placed on IL with sprained right ankle
39,2019-10-23,Thunder,,Andre Roberson,placed on IL with left knee injury
40,2019-10-23,Timberwolves,,Keita Bates-Diop,placed on IL
41,2019-10-23,Timberwolves,,Naz Reid,placed on IL with sore right shoulder
42,2019-10-23,Wizards,,C.J. Miles,placed on IL with left foot injury
43,2019-10-23,Wizards,,Ian Mahinmi,placed on IL with right Achilles injury
44,2019-10-23,Wizards,,Troy Brown Jr.,placed on IL with strained left calf
45,2019-10-24,Bucks,,Dragan Bender,placed on IL
46,2019-10-24,Bucks,,Frank Mason,placed on IL
47,2019-10-24,Hawks,,Allen Crabbe,placed on IL with right knee injury
48,2019-10-24,Hawks,,Chandler Parsons,placed on IL with knee injury
49,2019-10-24,Rockets,,Nene / Nene Hilario / Maybyner Hilario,placed on IL with adductor injury
50,2019-10-24,Warriors,,Alec Burks,placed on IL with sprained right ankle
51,2019-10-24,Warriors,,Willie Cauley-Stein,placed on IL with left foot injury
52,2019-10-25,Celtics,,Enes Kanter / Enes Freedom,placed on IL with bruised left knee
53,2019-10-25,Hornets,,Nicolas Batum,placed on IL with fractured finger
54,2019-10-25,Jazz,,Bojan Bogdanovic,placed on IL with sprained left ankle
55,2019-10-25,Kings,,Marvin Bagley III,placed on IL with fractured right thumb
56,2019-10-25,Knicks,Mitchell Robinson,,activated from IL
57,2019-10-25,Mavericks,,Isaiah Roby,placed on IL
58,2019-10-25,Mavericks,Ryan Broekhoff,,activated from IL
59,2019-10-26,76ers,,Joel Embiid,placed on IL with sprained right ankle
60,2019-10-26,Cavaliers,John Henson,,activated from IL
61,2019-10-26,Celtics,,Daniel Theis,placed on IL with sprained left ankle
62,2019-10-26,Celtics,,Tacko Fall,placed on IL with concussion
63,2019-10-26,Celtics,Tacko Fall,,activated from IL
64,2019-10-26,Heat,Udonis Haslem,,activated from IL
65,2019-10-26,Jazz,Bojan Bogdanovic,,activated from IL
66,2019-10-26,Pacers,,Jeremy Lamb,placed on IL with right hip pointer
67,2019-10-26,Pelicans,,Jrue Holiday,placed on IL with sprained left knee
68,2019-10-26,Pistons,,Reggie Jackson (Shon),placed on IL with back injury
69,2019-10-26,Pistons,Jordan Bone,,activated from IL
70,2019-10-26,Raptors,Rondae Hollis-Jefferson,,activated from IL
71,2019-10-26,Suns,,Ricky Rubio,placed on IL with bruised left knee
72,2019-10-26,Suns,Cameron Johnson,,activated from IL
73,2019-10-27,Heat,,Derrick Jones Jr.,placed on IL with strained left groin
74,2019-10-27,Warriors,,Kevon Looney,placed on IL with neuropathy
75,2019-10-28,76ers,Joel Embiid,,activated from IL
76,2019-10-28,Blazers,,Zach Collins,placed on IL with left shoulder injury
77,2019-10-28,Cavaliers,,John Henson,placed on IL with strained right hamstring
