"","typeSeason","slugSeason","idGame","dateGame","slugMatchup","slugTeamWinner","slugTeamLoser","numberGameDay"
"1","Regular Season","2022-23",22200001,2022-10-18,"BOS vs. PHI","BOS","PHI",1
"2","Regular Season","2022-23",22200002,2022-10-18,"LAL @ GSW","GSW","LAL",2
"3","Regular Season","2022-23",22200003,2022-10-19,"ORL @ DET","DET","ORL",1
"4","Regular Season","2022-23",22200004,2022-10-19,"WAS @ IND","WAS","IND",2
"5","Regular Season","2022-23",22200005,2022-10-19,"HOU @ ATL","ATL","HOU",3
"6","Regular Season","2022-23",22200006,2022-10-19,"NOP @ BKN","NOP","BKN",4
"7","Regular Season","2022-23",22200007,2022-10-19,"CHI @ MIA","CHI","MIA",5
"8","Regular Season","2022-23",22200008,2022-10-19,"TOR vs. CLE","TOR","CLE",6
"9","Regular Season","2022-23",22200009,2022-10-19,"MEM vs. NYK","MEM","NYK",7
"10","Regular Season","2022-23",22200010,2022-10-19,"OKC @ MIN","MIN","OKC",8
"11","Regular Season","2022-23",22200011,2022-10-19,"SAS vs. CHA","CHA","SAS",9
"12","Regular Season","2022-23",22200012,2022-10-19,"DEN @ UTA","UTA","DEN",10
"13","Regular Season","2022-23",22200013,2022-10-19,"PHX vs. DAL","PHX","DAL",11
"14","Regular Season","2022-23",22200014,2022-10-19,"POR @ SAC","POR","SAC",12
"15","Regular Season","2022-23",22200015,2022-10-20,"PHI vs. MIL","MIL","PHI",1
"16","Regular Season","2022-23",22200016,2022-10-20,"LAL vs. LAC","LAC","LAL",2
"17","Regular Season","2022-23",22200017,2022-10-21,"NOP @ CHA","NOP","CHA",1
"18","Regular Season","2022-23",22200018,2022-10-21,"SAS @ IND","SAS","IND",2
"19","Regular Season","2022-23",22200019,2022-10-21,"CHI @ WAS","WAS","CHI",3
"20","Regular Season","2022-23",22200020,2022-10-21,"ATL vs. ORL","ATL","ORL",4
"21","Regular Season","2022-23",22200021,2022-10-21,"TOR @ BKN","BKN","TOR",5
"22","Regular Season","2022-23",22200022,2022-10-21,"BOS @ MIA","BOS","MIA",6
"23","Regular Season","2022-23",22200023,2022-10-21,"DET @ NYK","NYK","DET",7
"24","Regular Season","2022-23",22200024,2022-10-21,"MEM @ HOU","MEM","HOU",8
"25","Regular Season","2022-23",22200025,2022-10-21,"UTA @ MIN","UTA","MIN",9
"26","Regular Season","2022-23",22200026,2022-10-21,"GSW vs. DEN","DEN","GSW",10
"27","Regular Season","2022-23",22200027,2022-10-21,"POR vs. PHX","POR","PHX",11
"28","Regular Season","2022-23",22200028,2022-10-22,"SAS @ PHI","SAS","PHI",1
"29","Regular Season","2022-23",22200029,2022-10-22,"DET @ IND","IND","DET",2
"30","Regular Season","2022-23",22200030,2022-10-22,"BOS @ ORL","BOS","ORL",3
"31","Regular Season","2022-23",22200031,2022-10-22,"MIA vs. TOR","MIA","TOR",4
"32","Regular Season","2022-23",22200032,2022-10-22,"CHI vs. CLE","CLE","CHI",5
"33","Regular Season","2022-23",22200033,2022-10-22,"HOU @ MIL","MIL","HOU",6
"34","Regular Season","2022-23",22200034,2022-10-22,"MEM @ DAL","DAL","MEM",7
"35","Regular Season","2022-23",22200035,2022-10-22,"DEN vs. OKC","DEN","OKC",8
"36","Regular Season","2022-23",22200036,2022-10-22,"SAC vs. LAC","LAC","SAC",9
"37","Regular Season","2022-23",22200037,2022-10-23,"POR @ LAL","POR","LAL",1
"38","Regular Season","2022-23",22200038,2022-10-23,"CHA @ ATL","CHA","ATL",2
"39","Regular Season","2022-23",22200039,2022-10-23,"WAS @ CLE","CLE","WAS",3
"40","Regular Season","2022-23",22200040,2022-10-23,"NOP vs. UTA","UTA","NOP",4
"41","Regular Season","2022-23",22200041,2022-10-23,"MIN @ OKC","MIN","OKC",5
"42","Regular Season","2022-23",22200042,2022-10-23,"GSW vs. SAC","GSW","SAC",6
"43","Regular Season","2022-23",22200043,2022-10-23,"LAC vs. PHX","PHX","LAC",7
"44","Regular Season","2022-23",22200044,2022-10-24,"IND @ PHI","PHI","IND",1
"45","Regular Season","2022-23",22200045,2022-10-24,"TOR @ MIA","TOR","MIA",2
"46","Regular Season","2022-23",22200046,2022-10-24,"NYK vs. ORL","NYK","ORL",3
"47","Regular Season","2022-23",22200047,2022-10-24,"CHI vs. BOS","CHI","BOS",4
"48","Regular Season","2022-23",22200048,2022-10-24,"UTA @ HOU","HOU","UTA",5
